Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],620,620,11%,0.0,76.96,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455293263.1?report=genbank&log$=prottop&blast_rank=17&RID=V0PN6D6F014"",""WP_455293263.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],619,619,11%,0.0,74.05,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455290694.1?report=genbank&log$=prottop&blast_rank=18&RID=V0PN6D6F014"",""WP_455290694.1"")"
1 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Candidatus Tremblaya phenacola PAVE],617,617,11%,0.0,73.47,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGO28354.1?report=genbank&log$=prottop&blast_rank=19&RID=V0PN6D6F014"",""AGO28354.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],615,615,11%,0.0,79.49,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455295564.1?report=genbank&log$=prottop&blast_rank=20&RID=V0PN6D6F014"",""WP_455295564.1"")"
3 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,Translation elongation factor Tu [Candidatus Vidania fulgoroideorum],614,614,11%,0.0,74.81,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UOQ27814.1?report=genbank&log$=prottop&blast_rank=21&RID=V0PN6D6F014"",""UOQ27814.1"")"
3 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,Translation elongation factor Tu [Candidatus Vidania fulgoroideorum],611,611,11%,0.0,74.05,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AXN02410.1?report=genbank&log$=prottop&blast_rank=22&RID=V0PN6D6F014"",""AXN02410.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],609,609,11%,0.0,74.74,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455300104.1?report=genbank&log$=prottop&blast_rank=23&RID=V0PN6D6F014"",""WP_455300104.1"")"
36 member(s) 10 organism(s),bacteria,elongation factor Tu [Pelomicrobium methylotrophicum],608,608,11%,0.0,70.92,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_147798756.1?report=genbank&log$=prottop&blast_rank=24&RID=V0PN6D6F014"",""WP_147798756.1"")"
9 member(s) 3 organism(s),b-proteobacteria,elongation factor Tu [Candidatus Tremblayella princeps],605,605,11%,0.0,70.66,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075047754.1?report=genbank&log$=prottop&blast_rank=25&RID=V0PN6D6F014"",""WP_075047754.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],605,605,11%,0.0,73.79,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455300850.1?report=genbank&log$=prottop&blast_rank=26&RID=V0PN6D6F014"",""WP_455300850.1"")"
1 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Candidatus Zinderia endosymbiont of Aphrophora alni],603,603,11%,0.0,74.23,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_339045084.1?report=genbank&log$=prottop&blast_rank=27&RID=V0PN6D6F014"",""WP_339045084.1"")"
3 member(s) 3 organism(s),b-proteobacteria,elongation factor Tu [Mycoavidus sp. B2-EB],598,598,11%,0.0,70.41,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185182044.1?report=genbank&log$=prottop&blast_rank=28&RID=V0PN6D6F014"",""WP_185182044.1"")"
3 member(s) 2 organism(s),b-proteobacteria,elongation factor Tu [Betaproteobacteria bacterium],598,598,11%,0.0,69.90,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MPZ44387.1?report=genbank&log$=prottop&blast_rank=29&RID=V0PN6D6F014"",""MPZ44387.1"")"
104 member(s) 35 organism(s),bacteria,elongation factor Tu [Lautropia mirabilis],597,597,11%,0.0,69.64,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126348071.1?report=genbank&log$=prottop&blast_rank=30&RID=V0PN6D6F014"",""WP_126348071.1"")"
2 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Candidatus Tremblayella phenacoccinincola],596,596,11%,0.0,72.70,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159128944.1?report=genbank&log$=prottop&blast_rank=31&RID=V0PN6D6F014"",""WP_159128944.1"")"
2 member(s) 2 organism(s),b-proteobacteria,elongation factor Tu [Oxalobacter vibrioformis],595,595,11%,0.0,70.15,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_269308170.1?report=genbank&log$=prottop&blast_rank=32&RID=V0PN6D6F014"",""WP_269308170.1"")"
7 member(s) 4 organism(s),b-proteobacteria,elongation factor Tu [Tepidimonas charontis],595,595,11%,0.0,70.41,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144329485.1?report=genbank&log$=prottop&blast_rank=33&RID=V0PN6D6F014"",""WP_144329485.1"")"
14 member(s) 10 organism(s),proteobacteria,elongation factor Tu [Hydrogenophilus thermoluteolus],595,595,11%,0.0,69.64,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119334464.1?report=genbank&log$=prottop&blast_rank=34&RID=V0PN6D6F014"",""WP_119334464.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,MAG: elongation factor Tu [Candidatus Vidania fulgoroideorum],592,592,11%,0.0,73.42,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YAG29228.1?report=genbank&log$=prottop&blast_rank=35&RID=V0PN6D6F014"",""YAG29228.1"")"
1 member(s) 1 organism(s),b-proteobacteria,translational elongation factor Tu [Candidatus Zinderia insecticola CARI],592,592,11%,0.0,73.21,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADM89825.1?report=genbank&log$=prottop&blast_rank=36&RID=V0PN6D6F014"",""ADM89825.1"")"
133 member(s) 57 organism(s),cellular organisms,"elongation factor Tu, partial [Methylophilus methylotrophus]",592,592,11%,0.0,69.41,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_018986647.1?report=genbank&log$=prottop&blast_rank=37&RID=V0PN6D6F014"",""WP_018986647.1"")"
21 member(s) 10 organism(s),proteobacteria,elongation factor Tu [Rhodocyclaceae bacterium],591,591,11%,0.0,69.92,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCA3002833.1?report=genbank&log$=prottop&blast_rank=38&RID=V0PN6D6F014"",""MCA3002833.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,MAG: elongation factor Tu [Candidatus Vidania fulgoroideorum],591,591,11%,0.0,74.81,393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XAO72561.1?report=genbank&log$=prottop&blast_rank=39&RID=V0PN6D6F014"",""XAO72561.1"")"
249 member(s) 72 organism(s),b-proteobacteria,elongation factor Tu [Burkholderia pseudomallei],591,591,11%,0.0,69.64,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191044455.1?report=genbank&log$=prottop&blast_rank=40&RID=V0PN6D6F014"",""WP_191044455.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],591,591,11%,0.0,71.76,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455305053.1?report=genbank&log$=prottop&blast_rank=41&RID=V0PN6D6F014"",""WP_455305053.1"")"
48 member(s) 18 organism(s),bacteria,elongation factor Tu [Usitatibacter palustris],590,590,11%,0.0,69.90,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_171164393.1?report=genbank&log$=prottop&blast_rank=42&RID=V0PN6D6F014"",""WP_171164393.1"")"
22 member(s) 13 organism(s),bacteria,elongation factor Tu [Sulfurifustis variabilis],590,590,11%,0.0,68.88,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096462258.1?report=genbank&log$=prottop&blast_rank=43&RID=V0PN6D6F014"",""WP_096462258.1"")"
1 member(s) 1 organism(s),b-proteobacteria,MAG: elongation factor Tu [Candidatus Zinderia insecticola],589,589,11%,0.0,71.68,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YAG29527.1?report=genbank&log$=prottop&blast_rank=44&RID=V0PN6D6F014"",""YAG29527.1"")"
22 member(s) 14 organism(s),bacteria,elongation factor Tu [Rhodoferax sp.],589,589,11%,0.0,69.13,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_305280673.1?report=genbank&log$=prottop&blast_rank=45&RID=V0PN6D6F014"",""WP_305280673.1"")"
2 member(s) 2 organism(s),proteobacteria,elongation factor Tu [Plasticicumulans sp.],589,589,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_324560299.1?report=genbank&log$=prottop&blast_rank=46&RID=V0PN6D6F014"",""WP_324560299.1"")"
287 member(s) 190 organism(s),bacteria,elongation factor Tu [Pseudoduganella ginsengisoli],589,589,11%,0.0,69.39,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155439957.1?report=genbank&log$=prottop&blast_rank=47&RID=V0PN6D6F014"",""WP_155439957.1"")"
2 member(s) 1 organism(s),proteobacteria,elongation factor Tu [Pseudomonadota bacterium],588,588,11%,0.0,69.13,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFZ5698753.1?report=genbank&log$=prottop&blast_rank=48&RID=V0PN6D6F014"",""MFZ5698753.1"")"
14 member(s) 9 organism(s),bacteria,MULTISPECIES: elongation factor Tu [unclassified Polynucleobacter],588,588,11%,0.0,69.90,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233923298.1?report=genbank&log$=prottop&blast_rank=49&RID=V0PN6D6F014"",""WP_233923298.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],588,588,11%,0.0,73.08,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455300670.1?report=genbank&log$=prottop&blast_rank=50&RID=V0PN6D6F014"",""WP_455300670.1"")"
79 member(s) 35 organism(s),bacteria,elongation factor Tu [Methylotenera sp.],587,587,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_304857494.1?report=genbank&log$=prottop&blast_rank=51&RID=V0PN6D6F014"",""WP_304857494.1"")"
1 member(s) 1 organism(s),proteobacteria,hypothetical protein [Pseudomonadota bacterium],587,587,11%,0.0,69.13,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFM2344551.1?report=genbank&log$=prottop&blast_rank=52&RID=V0PN6D6F014"",""MFM2344551.1"")"
115 member(s) 41 organism(s),bacteria,elongation factor Tu [Burkholderia sp. Bp9017],587,587,11%,0.0,68.62,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124897338.1?report=genbank&log$=prottop&blast_rank=53&RID=V0PN6D6F014"",""WP_124897338.1"")"
77 member(s) 44 organism(s),bacteria,elongation factor Tu [Ramlibacter tataouinensis],587,587,11%,0.0,69.13,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_061498189.1?report=genbank&log$=prottop&blast_rank=54&RID=V0PN6D6F014"",""WP_061498189.1"")"
570 member(s) 288 organism(s),bacteria,MULTISPECIES: elongation factor Tu [Burkholderiaceae],586,586,11%,0.0,68.62,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_028371383.1?report=genbank&log$=prottop&blast_rank=55&RID=V0PN6D6F014"",""WP_028371383.1"")"
27 member(s) 10 organism(s),bacteria,elongation factor Tu [Zeimonas sediminis],586,586,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_272485615.1?report=genbank&log$=prottop&blast_rank=56&RID=V0PN6D6F014"",""WP_272485615.1"")"
9 member(s) 8 organism(s),purple sulfur bacteria,elongation factor Tu [Nitrosococcus halophilus],586,586,11%,0.0,67.60,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013033320.1?report=genbank&log$=prottop&blast_rank=57&RID=V0PN6D6F014"",""WP_013033320.1"")"
57 member(s) 43 organism(s),bacteria,elongation factor Tu [Pseudacidovorax intermedius],586,586,11%,0.0,69.64,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114801962.1?report=genbank&log$=prottop&blast_rank=58&RID=V0PN6D6F014"",""WP_114801962.1"")"
10 member(s) 6 organism(s),bacteria,elongation factor Tu [Gallionellaceae bacterium],586,586,11%,0.0,68.62,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFA6902290.1?report=genbank&log$=prottop&blast_rank=59&RID=V0PN6D6F014"",""MFA6902290.1"")"
2 member(s) 1 organism(s),bacteria,elongation factor Tu [Deltaproteobacteria bacterium],586,586,11%,0.0,67.86,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDF1565013.1?report=genbank&log$=prottop&blast_rank=60&RID=V0PN6D6F014"",""MDF1565013.1"")"
1 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Gammaproteobacteria bacterium],585,585,11%,0.0,69.67,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HSW70497.1?report=genbank&log$=prottop&blast_rank=61&RID=V0PN6D6F014"",""HSW70497.1"")"
3 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Lysobacterales bacterium],585,585,11%,0.0,67.35,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDW8479956.1?report=genbank&log$=prottop&blast_rank=62&RID=V0PN6D6F014"",""MDW8479956.1"")"
2 member(s) 2 organism(s),bacteria,elongation factor Tu [Planctomyces sp.],585,585,11%,0.0,69.39,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFN5663205.1?report=genbank&log$=prottop&blast_rank=63&RID=V0PN6D6F014"",""MFN5663205.1"")"
9 member(s) 7 organism(s),bacteria,"elongation factor Tu, partial [Parasutterella secunda]",585,585,11%,0.0,67.35,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_205051017.1?report=genbank&log$=prottop&blast_rank=64&RID=V0PN6D6F014"",""WP_205051017.1"")"
6 member(s) 3 organism(s),g-proteobacteria,elongation factor Tu [Methylococcaceae bacterium],585,585,11%,0.0,67.86,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI0653164.1?report=genbank&log$=prottop&blast_rank=65&RID=V0PN6D6F014"",""MCI0653164.1"")"
4 member(s) 3 organism(s),g-proteobacteria,elongation factor Tu [Gammaproteobacteria bacterium],585,585,11%,0.0,68.45,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHM05453.1?report=genbank&log$=prottop&blast_rank=66&RID=V0PN6D6F014"",""HHM05453.1"")"
2 member(s) 2 organism(s),g-proteobacteria,elongation factor Tu [Candidatus Methylumidiphilus sp.],585,585,11%,0.0,69.39,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFM8333218.1?report=genbank&log$=prottop&blast_rank=67&RID=V0PN6D6F014"",""MFM8333218.1"")"
1 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Limnohabitans sp. Rim47],585,585,11%,0.0,68.97,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082688193.1?report=genbank&log$=prottop&blast_rank=68&RID=V0PN6D6F014"",""WP_082688193.1"")"
1 member(s) 1 organism(s),proteobacteria,elongation factor Tu [Pseudomonadota bacterium],584,584,11%,0.0,68.88,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAW32843.1?report=genbank&log$=prottop&blast_rank=69&RID=V0PN6D6F014"",""MAW32843.1"")"
9 member(s) 5 organism(s),b-proteobacteria,elongation factor Tu [Rhodoferax sp. PAMC 29310],584,584,11%,0.0,68.88,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_210542424.1?report=genbank&log$=prottop&blast_rank=70&RID=V0PN6D6F014"",""WP_210542424.1"")"
1 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Casimicrobiaceae bacterium],584,584,11%,0.0,68.88,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MHE0520672.1?report=genbank&log$=prottop&blast_rank=71&RID=V0PN6D6F014"",""MHE0520672.1"")"
105 member(s) 56 organism(s),bacteria,MULTISPECIES: elongation factor Tu [Thiomonas],584,584,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013107281.1?report=genbank&log$=prottop&blast_rank=72&RID=V0PN6D6F014"",""WP_013107281.1"")"
1 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Gammaproteobacteria bacterium],584,584,11%,0.0,68.11,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX5636906.1?report=genbank&log$=prottop&blast_rank=73&RID=V0PN6D6F014"",""HEX5636906.1"")"
3 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Gammaproteobacteria bacterium],583,583,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDH3645530.1?report=genbank&log$=prottop&blast_rank=74&RID=V0PN6D6F014"",""MDH3645530.1"")"
1 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Telluria sp.],583,583,11%,0.0,69.13,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGZ8289550.1?report=genbank&log$=prottop&blast_rank=75&RID=V0PN6D6F014"",""MGZ8289550.1"")"
2 member(s) 1 organism(s),b-proteobacteria,elongation factor Tu [Zoogloeaceae bacterium],583,583,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDR0673567.1?report=genbank&log$=prottop&blast_rank=76&RID=V0PN6D6F014"",""MDR0673567.1"")"
1 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [endosymbiont of Euscepes postfasciatus],582,582,11%,0.0,72.70,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_130624143.1?report=genbank&log$=prottop&blast_rank=77&RID=V0PN6D6F014"",""WP_130624143.1"")"
1 member(s) 1 organism(s),bacteria,elongation factor Tu [Bacteriovoracia bacterium],582,582,11%,0.0,69.39,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGE0614109.1?report=genbank&log$=prottop&blast_rank=78&RID=V0PN6D6F014"",""MGE0614109.1"")"
2 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Gammaproteobacteria bacterium],582,582,11%,0.0,67.86,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEJ2651652.1?report=genbank&log$=prottop&blast_rank=79&RID=V0PN6D6F014"",""MEJ2651652.1"")"
3 member(s) 3 organism(s),bacteria,elongation factor Tu [Burkholderiales bacterium],582,582,11%,0.0,67.35,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX5463099.1?report=genbank&log$=prottop&blast_rank=80&RID=V0PN6D6F014"",""HEX5463099.1"")"
8 member(s) 8 organism(s),g-proteobacteria,MULTISPECIES: elongation factor Tu [Methylicorpusculum],582,582,11%,0.0,69.90,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159658989.1?report=genbank&log$=prottop&blast_rank=81&RID=V0PN6D6F014"",""WP_159658989.1"")"
216 member(s) 108 organism(s),proteobacteria,elongation factor Tu [Bordetella genomosp. 7],582,582,11%,0.0,68.37,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094797607.1?report=genbank&log$=prottop&blast_rank=82&RID=V0PN6D6F014"",""WP_094797607.1"")"
1 member(s) 1 organism(s),g-proteobacteria,elongation factor Tu [Chromatiales bacterium],582,582,11%,0.0,68.62,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB1864224.1?report=genbank&log$=prottop&blast_rank=83&RID=V0PN6D6F014"",""MCB1864224.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MAG: elongation factor Tu [Rickettsiales bacterium],581,581,11%,0.0,67.60,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GMO56126.1?report=genbank&log$=prottop&blast_rank=84&RID=V0PN6D6F014"",""GMO56126.1"")"
13 member(s) 9 organism(s),proteobacteria,elongation factor Tu [Methylococcus mesophilus],581,581,11%,0.0,66.84,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_266021805.1?report=genbank&log$=prottop&blast_rank=85&RID=V0PN6D6F014"",""WP_266021805.1"")"
